-1:37 | @grelmedialski2241: ooo na kartkach - też dobra opcj
-1:34 | @MaciejZaniewski: Q: czy trzeba mieć coś z wyprzedzeniem mieć otwarte/przygotować by na bieżąco robić
-1:30 | @edytalatuszek3676: dobry wieczó
-1:29 | @dt6610: Siemk
-1:28 | @Wojtek00100: Cześ
-1:23 | @rafal.krygowski: Dziń dybry :
-1:20 | @Athariel0: dobr
-1:20 | @Bartosz-mod: Dobry wieczór
-1:18 | @marekgrzesik4929: cześć;
-1:17 | @pythonowy_gość: xdd
-1:16 | @hornet2589: dzień dobr
-1:15 | @MasterofDeath431: Cześ
-1:14 | @TigiLion-to-ja: Hejka
-1:13 | @SekurakTV: @abojaniewiem plan yl taki by szkolenie nazwać Arkana Pythona z Czarodziejem Gynvaelem i dać Gynowi filtr Gandalf
-1:11 | @axen4555: Wita
-1:09 | @RezyserKinaAkcjii: he
-1:07 | @TravelDiving: Czesc :
-1:05 | @izabelarozej9872: he
-1:05 | @lucypherus81: he
-1:02 | @m7355: Cześ
-1:00 | @damiana.9544: Dobry wieczó
-1:00 | @ParadiseAix: 2.00 a
-0:51 | @rosetnebula: he
-0:50 | @maciejrybicki8905: Q Kiedy start 
-0:46 | @Mylus69: Cześ
-0:44 | @begrael: Cześć
-0:43 | @l4mero: siem
-0:43 | @krystiankrywosz3787: Hej
-0:40 | @SekurakTV: za chwil
-0:39 | @axen4555: można link do discorda
-0:38 | @jakubwartenberg: @SekurakTV jeszcze daj znac czy nagranie bedzie dostępne już dzis po webinarze czy się dłużej będzie generować
-0:37 | @michacesarczyk7783: Siemk
-0:37 | @Randerro: dzień dobry :
-0:34 | @PrzemysławKosobucki: Dobry wieczó
-0:32 | @to-nie-idkfa: Chcemy czarodzieja Gynvaela!
-0:31 | @robertgumul1771: miałem rozmowe kwalifikacyjną kiedyś na kartce dali 3 A4 kodu kazali szukać błędu ;
-0:29 | @andrzejbajguz2848: Dobry wieczó
-0:28 | @zakensik: dobry wieczó
-0:26 | @KamilaNeko: hejo :
-0:20 | @paulinapierscionek298: he
-0:19 | @grzegorzgrabowski1551: Cześ
-0:18 | @shao_may8813: Cześć :
-0:17 | @bernardukasik1101: siemk
-0:09 | @tomgol6062: Dobry wieczór :
-0:09 | @IRzeee: siema (
-0:06 | @SekurakTV: @jakubwartenberg tak, od razu pod tym samym linkie
-0:06 | @mwalentyn: dobry wieczó
-0:05 | @annaslabosz9261: Cześć Wszystkim
-0:02 | @gracjansuchocki5: hall
-0:02 | @adamn3306: Dobry wieczó
0:10 | @zorro5765: Cześ
0:10 | @Bartosz-mod: Link do Discorda: https://discord.gg/v5WNSD5u
0:13 | @nataliaguszek5918: Hej
0:16 | @sarq1: Pyton w szwajcarskim sejfie
0:17 | @ajaktamkorniszo2745: straszą człowieka muzyką
0:18 | @Henry-k8x3c: Q: czy cos trzeba zainstalowac teraz przed transmisją 
0:22 | @jakubwartenberg: dzięki wszystko jasne!!
0:23 | @Aleksandra-jv9vm: print("dzień dobry"
0:24 | @mjr_zan: jest muz
0:32 | @SekurakTV: @Henry-k8x3c ni
0:33 | @nataliak404: cześ
0:33 | @Krzysztof.Radzikowski: Br
0:39 | @marekostrowski1919: jest muza to jest poważni
0:46 | @ukasztulibacki6268: cześ
0:53 | @Bartosz-mod: Nagranie bedzie od razu pod tym samym linkiem
0:55 | @MonciakTT: zaczyna się!!! :
0:56 | @TheReleth: siemandero ;
0:56 | @michalsikorski8385: Dobry wieczó
1:00 | @GynvaelColdwind: Na dzisiaj nic nie musicie jeszcze instalować  Rozsiądźcie się wygodnie i posłuchajcie :
1:03 | @missygnalek: Dobry wieczó
1:07 | @annaemolkadebicka2629: hej
1:08 | @begrael: @Aleksandra-jv9vm +
1:16 | @annaslabosz9261: będzie kotek ;-
1:16 | @Gazetqa: he
1:18 | @lukasz_misiek: Cześć, dobry wieczór :
1:20 | @Clarify4: he
1:21 | @LeFleur666: wieczó
1:23 | @ZCJGitara: witam serdeczni
1:32 | @psvpl: Gynvael? To jakiś elf? :
1:33 | @photo67: Cześ
1:33 | @jacekkotarski1501: cześ
1:43 | @piotrnalenc3355: Witam wszystkich
1:48 | @mas331: Dobry wieczór
1:48 | @LukasR1: Wita
1:51 | @agnieszkas5411: dobrz
1:52 | @Gazetqa: tak słychac i widać :
1:52 | @ukasztulibacki6268: jest o
1:52 | @to-nie-idkfa: jest o
1:52 | @pawemateja1001: O
1:53 | @Boguslaw-l8q: słychać i wida
1:53 | @photo67: Jest gi
1:54 | @Kubson1605: Jest o
1:54 | @Clarify4: jest dobrz
1:54 | @rosetnebula: widać i słycha
1:55 | @peszek7120: dobrze jes
1:56 | @kingak4032: slychac, wida
1:56 | @ajaktamkorniszo2745: słychać obydwóc
1:57 | @pythonowy_gość: git jes
1:57 | @annaslabosz9261: Widać, słychać i ...
1:57 | @mariusztrzcina-szrek9885: jest o
1:57 | @MonciakTT: słycha
1:57 | @Bartosz-mod: widać,słychać ;
1:57 | @marekostrowski1919: widać słycha
